0,1,2
Exercise & Sports Science,40400,61200
Psychiatry,54700,61200
Supervision & Management,39400,61200
African American & African Studies,43600,61100
Culture Studies,44800,61000
Printmaking,36800,61000
Secondary English Teacher Education,40000,61000
Community Health Education,40200,60900
Culinary Arts,36700,60900
Wildlife Management,37800,60800
Psychology & Philosophy,45400,60800
Mortuary Science,40600,60700
Paralegal Studies,37700,60600
Health Studies,40600,60500
Social Psychology,44400,60500
Health Services Management,39300,60400
Emergency Medical Services (EMS),41600,60300
Recording Arts,40500,60300
English Teacher Education,41300,60200
Social Science Teacher Education,42100,60200
Social Studies Teacher Education,42400,60200
Music Teacher Education,39100,60000
Photography,41500,60000
Teaching English as a Second Language (ESL),41600,59900
Health & Physical Education Teaching,37000,59900
Human Development,40700,59700
Painting,38700,59700
Radio Broadcasting,43200,59700
Recreational Studies,40500,59700
Speech Pathology,40500,59500
Recreation Administration,45000,59400
Dance,42600,59200
Recreation & Leisure Studies,38800,59100
Arts Management,37400,59000
University Studies,40000,59000
Photojournalism,39700,59000
Organizational Administration,42900,58900
Health & Medical Services Administration,37900,58800
Tourism Management,40600,58800
Communicative Disorders,45200,58800
Sculpture,38400,58700
Consumer Affairs,49200,58600
Social Services,38000,58600
Community Health,42900,58500
Justice Studies,43300,58500
Landscape Design,48900,58500
Horticulture,41300,57800
Wildlife Biology,41000,57800
Gender Studies,43100,57700
Nonprofit Management,40400,57200
Athletic Training,39700,57000
Human Development & Family Studies,38300,56800
Biblical Studies,38700,56700
Health Promotion,40000,56700
Home Economics,38200,56500
Theatre Studies,43100,56500
Teaching,39600,56400
Counseling Psychology,39200,56200
Health & Human Performance,36200,56200
Library & Information Science,44700,56000
Art Teacher Education,37500,55900
Hospitality & The Culinary Arts,37400,55900
Musical Theatre,41800,55900
Clinical Social Work (CSW),41700,55800
Biblical Studies & Practical Ministries,35100,55700
Rehabilitation Services,34100,55700
Parks & Recreation Management,40600,55600
Pastoral Ministry,37300,55600
Legal Assistant Studies,36400,55500
Applied Management,43600,55400
Social Welfare,44900,55300
Tourism & Travel,40600,55300
Vocal Performance,38900,55300
Audio Production,43700,54700
Bible Studies & Theology,38100,54700
Church Ministries,38100,54600
Family Studies,35900,54500
Special Education,39200,54500
Ceramics,39900,54400
Communication Sciences & Disorders,40900,54400
Family & Community Services,38500,54400
Speech & Hearing,41400,54300
Community Development,42100,53900
Health and Human Services,41500,53700
Office Management,37800,53400
Psychology & Human Services,35000,53300
History Teacher Education,45400,53000
Youth Ministry,35300,52300
Therapeutic Recreation,37700,52300
Community & Human Services,40500,52100
Christian Ministry,35500,52000
Elementary Education,37700,51600
Social Work (SW),36600,51600
Office Administration,38200,51200
Voice & Opera,32900,50800
Elementary Teaching,34400,50700
Human Services (HS),36600,50700
Baking & Pastry Arts,36000,50600
Human Services Management,43500,50500
Counseling,37100,49300
Recreational Therapy,36400,49200
Child Development,35500,49100
Middle School Education,39000,48300
Educational Psychology,34600,47600
Early Childhood & Elementary Education,36200,46500
Rehabilitation Counseling,38000,46100
Addiction Studies,36300,44800
Outdoor Education,35800,44200
Child & Family Studies,34100,43600
Early Childhood Education,34100,43300
Mental Health,35200,42500
Medical Assisting,35100,42300
Addictions Counseling,38800,42200
Metalsmithing,38300,38400
